source: https://www.puzzle-pipes.com/?size=3
id: 6,672,132
fetched: 2026-09-12 00:56:05
size: 10x10
task_hex: 26c5b1c5a2476267c831236273337495ecb9b574864a2b71e59dd7bc649658beddbe59a2611e242589addbebc52323314c42
hashed_solution: 8c0f2adf3bcf09cd37ed7acf437f127e
mask: 1=right 2=up 4=left 8=down (hex digit per cell, row-major)

╵ ┘ ┐ ─ ├ ╶ ┐ ─ │ ╵
╴ ┴ ┘ ╵ ┘ ┴ ┐ ╷ └ ╶
╵ └ ┘ ╵ ┴ └ └ └ ┴ ╴
┌ ─ ┤ ┐ ├ ┌ ├ ─ ┴ ╴
╷ ┘ ╴ │ ╵ ├ ┴ ╶ ┤ ─
┌ ┬ ┬ ┴ ├ ┐ ┘ ╴ ┌ ┘
─ ╷ ├ ┤ ┬ ┬ ├ ┤ ─ ┌
│ ╵ ┘ ╶ ╶ ┤ ╵ ╴ ╵ ─
╷ ┌ │ ┬ ┬ ├ ┤ ├ ┐ ─
╵ └ ╵ └ └ ╶ ╴ ┐ ╴ ╵
