source: https://www.puzzle-pipes.com/?size=6
id: 9,656,780
fetched: 2026-09-14 23:23:05
size: 25x25
task_hex: 49a5a512b662443b182ba2951ab8418461dd7b76123eda1a44eebedc2d411a4489b1a3556a53c4ce51e75ed9b7a269b824e62be248e62a5e857eaede4a5e39d615284942ea78ee72645aa21e9879a7337a5bb624156bde2c3b4632ceb7cc259e2ee4bb552a71a76c28859eb7c2523643d95bba71734a6c823cd3c75e15a3384d413e7ebdb3343c24d4485b5dbec179d4286ddeadb6889eb28271a92ed88e1eb38d985812671ba1b41b5dc425b337ad1dac7e77dbbdb946e18235a24164566ad38e9777b6d7d7bec82e32249c8ae4728a1485241a5223d3a79aab1de83c7629149e992ebb741eb6ed7b7981e296a97ac8a84ad51a554d55bde9a4a6275c25a6ace45ced84ab2b817a7291bc9b928b12da99b7ec8749265d3e6b48c2c963b173ac748baac374db7eada587c1828dc8781a998ca4886122aba54
hashed_solution: 1da4ac2cf38f1b4d0f416998a79084bf
mask: 1=right 2=up 4=left 8=down (hex digit per cell, row-major)

╴ ┌ │ ─ │ ─ ╶ ╵ ├ ┘ ┘ ╵ ╴ ╴ └ ├ ╶ ╷ ╵ ├ │ ╵ ┌ ─ ╶
│ ├ ╷ ╴ ╶ ╷ ╴ ┘ ╶ ┬ ┬ ┴ ├ ┴ ┘ ╶ ╵ └ ┤ ┬ │ ╶ │ ╴ ╴
┤ ┤ ├ ┤ ┬ ┐ ╵ ┬ ╴ ╶ ╶ │ ╴ ╴ ╷ ┌ ├ ╶ │ └ ─ ─ ┘ │ ─
└ ┐ ╴ ┐ ┤ ─ ╶ ┤ ┴ ─ ┤ ┬ ┌ ├ ┴ │ ╵ ┘ ┌ ├ ╷ ╵ ╴ ┤ ┘
╵ ├ ┤ ╵ ╴ ╷ ┤ ┘ ╵ │ ─ ┤ ╷ ─ ┴ ┤ │ ┤ ┬ ┤ ╴ │ ─ ┤ └
┌ ┬ ┘ ╶ ─ ╵ ╷ ╴ ┌ ╴ ╵ ┤ │ ┴ ╷ ┤ ┤ ┴ ╵ ┘ ╴ ─ │ │ ╵
╶ ┤ ┌ ╷ ┴ ┌ │ ┴ └ └ ┴ │ ─ ├ ├ ┘ ╵ ╴ ╶ ─ ┘ ├ ┬ ┤ ╵
┐ └ ├ ╴ ┘ └ ╵ ┐ ┤ ├ ┴ ┐ ┐ ╵ ─ ┌ ┤ ╵ ┤ ┤ ╴ ├ ├ ─ ─
╵ │ ┴ ╶ │ ┴ ┘ ┐ ╵ ╷ ╷ ─ ┌ ┤ ├ ┴ ┐ ╵ ─ ╵ └ ┘ ╴ └ ┬
┌ ─ ├ ├ │ ┴ ╶ ┴ └ ╴ │ ┘ ┐ ╷ ╵ └ ┐ ┬ └ ┐ ┴ ─ ┤ ╶ ─
│ └ └ ╷ ╴ ┬ ╴ ╶ └ ┤ ┴ ┤ ├ ┬ ├ └ └ ╴ └ ┐ ╵ ╴ ┬ ╴ ╴
╷ ─ ├ ─ ┬ ├ ┤ ┐ ╶ ┴ ┌ ┬ ╴ ╵ ╷ ┘ ┬ ┬ ┤ │ ┬ ├ ┘ ╷ ╷
┌ ┤ ├ ╵ ╷ ╵ ┴ ╶ │ ┌ ╵ ┤ ┬ ╷ ╷ ┤ ╶ ┤ ├ └ ╷ ┬ ┌ ╷ ─
╷ ╶ ╵ ┘ ┴ ╶ ├ │ ╶ ├ ╴ ╶ ├ ─ ┬ ┐ ╴ ╵ ─ ├ └ └ ┴ │ ┬
╶ ┬ │ ┐ ┴ ┤ ┴ ┴ ┬ ├ ├ ┬ ├ ┌ ╴ ┘ ┤ ╶ ╷ ╵ └ ─ │ ╵ ╴
╶ ┘ ╴ ─ ┘ ┘ │ ┬ └ ╷ ┤ ┌ ┴ ┴ ┴ ├ ┘ ┬ ┴ ┬ ┴ ├ ┤ ┐ ╷
╵ ┤ └ ╵ ╵ ╴ ┌ ┐ ╷ │ ┤ ╴ ┴ ╵ ╷ │ ╶ ╴ ╷ ─ ╵ ╴ ╶ │ ─
╵ ╵ └ ┬ └ │ ┴ ┌ │ │ ├ ╶ ┬ ┤ ╷ └ ┐ ┴ ┘ ╵ ┌ ╶ ╴ ┌ ┤
┌ ┌ ╵ ┤ ├ ├ ┴ ╴ ╶ ┤ ├ ┘ ┤ ┬ ┴ ├ ┴ ┌ ╷ ╶ ┤ ╵ ┌ ┘ │
┌ ┴ │ ┐ ╷ │ ╷ ╴ │ ┬ ─ ╶ │ ─ ─ ╴ ┬ ─ ─ ├ ┬ ┤ ┌ │ ╴
│ ┘ ╵ ┴ ─ ┐ ╵ ─ │ ┘ │ ┐ ┤ ╴ ─ ┐ ┤ ┬ ╷ ╴ │ ├ ╵ ├ ╷
╶ ┴ │ ┴ ╵ ┌ ╶ ├ ┐ ┌ ├ ┌ ╵ ╷ ├ ╶ ╵ ┬ │ ┌ ┌ ├ ┴ ┤ ┐
╷ ┴ ╴ ┌ ╵ ┘ ─ ┬ └ ┤ ┘ ├ ╴ ╷ ┐ ╵ ┐ ┌ ┘ └ ├ ╶ ┴ └ │
┐ ┴ ╴ ╷ ├ │ │ ┐ └ ┴ ╴ ┬ ├ ┴ ┤ │ ┬ │ ─ ╷ ┴ ┐ ╶ ╷ ╵
╷ ┬ ┐ ╷ ┴ ╷ ╶ │ ┌ ┌ ╷ ┐ │ ╴ ╷ ╷ ┘ ╶ ╵ ╵ │ ├ │ ─ ╴
